ERR1018240	ERR1018195	ERR1018209	ERR1018239	ERR1018238	ERR1018237	ERR1018236	ERR1018235	ERR1018234	ERR1018233	ERR1018232	ERR1018241	ERR1018193	ERR1018205	ERR1018203	ERR1018210	ERR1018199	ERR1018198	ERR1018208	ERR1018207	ERR1018186	ERR1018192	ERR1018189	ERR1018227	ERR1018224	ERR1018213	ERR1018201	ERR1018200	ERR1018202	ERR1018185	ERR1018212	ERR1018187	ERR1018197	ERR1018196	ERR1018190	ERR1018188	ERR1018191	ERR1018211	ERR1018194	ERR1018214	ERR1018225	ERR1018222	ERR1018226	ERR1018228	ERR1018216	ERR1018221	ERR1018229	ERR1018231	ERR1018218	ERR1018223	ERR1018215	ERR1018230	ERR1018219	ERR1018220	ERR1018279	ERR1018280	ERR1018281	ERR1018282	ERR1018283	ERR1018284	ERR1018285	ERR1018310	ERR1018286	ERR1018287	ERR1018288	ERR1018289	ERR1018290	ERR1018291	ERR1018311	ERR1018312	ERR1018292	ERR1018293	ERR1018242	ERR1018243	ERR1018308	ERR1018244	ERR1018245	ERR1018246	ERR1018309	ERR1018247	ERR1018248	ERR1018249	ERR1018250	ERR1018251	ERR1018252	ERR1018253	ERR1018254	ERR1018255	ERR1018256	ERR1018257	ERR1018258	ERR1018259	ERR1018260	ERR1018261	ERR1018262	ERR1018263	ERR1018264	ERR1018265	ERR1018266	ERR1018267	ERR1018268	ERR1018269	ERR1018270	ERR1018271	ERR1018272	ERR1018273	ERR1018274	ERR1018275	ERR1018276	ERR1018277	ERR1018278	ERR1018217	ERR1018206	ERR1018204	ERR1018305	ERR1018306	ERR1018307	ERR1018294	ERR1018298	ERR1018295	ERR1018299	ERR1018296	ERR1018300	ERR1018297	ERR1018301	ERR1018302	ERR1018303	ERR1018304
UNMAPPED	99213.0000007438	28335.0000008495	30407.0000003257	82672.000000163	101135.000002042	25480.9999998003	57490.0000009854	94895.0000011575	10811.9999998181	55486.0000010293	96895.0000007354	34462.0000005907	32423.9999998522	35913.0000004923	23483.000000358	24978.0000003374	10279.0000000226	49137.0000000741	16405.9999990286	40090.000000049	63052.0000002691	39420.0000006194	123835.000000902	111408.000001877	39937.0000000631	27871.0000001007	37073.0000000548	62414.0000001252	16384.9999999241	83257.0000000747	67503.0000001901	61800.0000002155	67655.0000006011	105848.000000752	29886.000000132	61911.0000002549	76684.0000001826	90285.0000004906	59692.0000001172	39070.0000007204	70651.0000000745	95685.0000004358	110402.000000821	107963.000000899	50457.0000001783	91741.0000002731	78808.000000797	83125.0000002405	82185.0000003781	153871.000000944	68737.0000006623	108091.000000353	24482.0000010939	109955.000000893	3451.99999971164	114259.000001027	54759.0000001461	49637.0000001937	41251.0000002363	57117.0000001394	74086.0000004516	113714.000001237	55091.0000004795	21590.000000145	66736.0000000985	21044.0000000895	37967.000000217	41567.0000000938	111368.000001228	39632.999999924	30280.0000003125	31376.0000001644	45826.999999988	12145.0000012157	107302.000000455	50470.0000005649	87287.0000003316	78391.000000647	94028.0000005882	56103.9999999044	189062.000001306	58015.0000003704	47841.0000001768	62704.0000005088	78316.0000003749	80996.0000003375	85183.0000009576	54115.000000374	59915.0000003082	139798.000001164	43896.0000000624	73894.0000006741	52473.0000008689	62396.0000003249	137382.000002028	69275.0000005852	45819.9999998266	83105.0000007962	98092.00000116	102927.000000256	83061.0000002498	74780.0000008042	56978.0000010079	43582.9999993324	105075.00000088	101848.000000367	78911.0000006326	83711.0000001106	45397.0000007186	82644.0000010536	46646.0000007372	95574.0000005394	47143.0000003606	29059.0000001381	58070.0000004883	55644.0000001582	34516.9999999057	56858.0000000763	56561.000000167	43817.0000002371	25032.0000004289	10142.9999999904	21510.0000003031	52476.0000002834	64494.0000001776	34161.0000007634	74234.0000004669	54356.0000005908
Methanoculleus marisnigri [Cluster1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanococcoides burtonii [Cluster10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcus kodakarensis [Cluster100]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Victivallis vadensis [Cluster1000]	0	0	0	0	0	0	0	0	0	0	11.6539639076916	0	1.01501393967742	0	0	0	0	0	0	0	0	0	2.0191713197553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01722443246364	0	7.99402000081366	0	0	0	0	2.91136749170163	0	0	0	0	1.00206491688971	0	0	0	0	0	0	0	0	0	25.4988740102816	0	0	0	0	0	1.99278189118266	0	1.01165448175135	10.9508719387525	3.01757318063782	0	0	0	0.9957156006055	0	0	0	0	0	0	0	0	0	0	0	3.03508281125573	0	3.00260813815824	9.9754223240005	0	0	0	0	2.99584293448843	0	0	0	0	0	0	0	0	0	0	0	0	0.943024310040447	0	0	0	0	0	0	0	0	0
Gemmatimonas aurantiaca [Cluster1001]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacter succinogenes [Cluster1002]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unnamed Verrucomicrobiae bacterium DG1235 [Cluster1003]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opitutus terrae [Cluster1004]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01609302872819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coraliomargarita akajimensis [Cluster1005]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
